	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC_Os02g42890.MSUR7	72.9896028961635	1.84462634015075	0.433835402254694	4.25190367260027	2.11961033152776e-05	0.000893884333284052
LOC_Os02g43020.MSUR7	977.344935072833	2.71250291017121	0.285327647287493	9.50662487830392	1.96948892468221e-21	5.38276473030453e-19
LOC_Os02g43519.MSUR7	130.765162397819	1.5699607448481	0.348082611625233	4.5103107492724	6.47327294453605e-06	0.000318332716566596
LOC_Os02g43970.MSUR7	60.1139475574158	1.68000869034057	0.458729540742414	3.66230761511811	0.000249953455750873	0.00803696496183576
LOC_Os02g44770.MSUR7	12.7087208992575	3.94146686052588	1.04572245163977	3.76913286536534	0.000163815673304571	0.00550389680615736
LOC_Os02g44870.MSUR7	252.796363139102	1.68088286880337	0.352601968574122	4.76708305288438	1.86912274178231e-06	0.000105832559387292
LOC_Os02g47110.MSUR7	87.2659590365903	1.89011545201421	0.419685605783585	4.50364612454416	6.67974008619611e-06	0.000326228405859172
LOC_Os02g47560.MSUR7	264.171742606328	-1.20775644923667	0.357499947474231	-3.37834021450794	0.000729247986214539	0.0201244123885068
LOC_Os02g48110.MSUR7	786.724793657411	3.24698196428652	0.262062428823397	12.3901086426801	2.95642610366093e-35	1.44885268224928e-32
LOC_Os02g48140.MSUR7	20.4914791387345	8.44317260865449	1.58847600436096	5.31526606978941	1.06501591508598e-07	7.80206504391851e-06
LOC_Os02g48350.MSUR7	51.5866090514296	2.49607053541252	0.586705008987359	4.25438763463208	2.09621890870474e-05	0.000886650688408089
LOC_Os02g48900.MSUR7	135.088617199255	-1.0865086639934	0.345734975438473	-3.14260558283248	0.00167451309152084	0.0396636334278237
LOC_Os02g50680.MSUR7	87.7449516950329	2.20351182879764	0.413722789572268	5.3260586178387	1.00366753005584e-07	7.4270193866807e-06
LOC_Os02g51020.MSUR7	68.2638128256795	-1.64609650982978	0.452583179924451	-3.63711375686689	0.000275710185226616	0.00880537787065317
LOC_Os02g52140.MSUR7	206.923694935762	3.1830848415826	0.324154555760104	9.81965172174935	9.26631260383464e-23	2.80197520692974e-20
LOC_Os02g52150.MSUR7	631.579449162412	4.46700142989821	0.332308855518466	13.4423183605168	3.4156526467965e-41	2.02263564234466e-38
LOC_Os02g52270.MSUR7	46.6229701847701	1.60815813400082	0.524684633317235	3.06499949090084	0.00217670367651094	0.0481109061439713
LOC_Os02g53320.MSUR7	102.953191746179	7.7600926763208	0.920541954051785	8.4299174439194	3.45909164643379e-17	6.38449486741779e-15
LOC_Os02g53490.MSUR7	135.446823923035	1.39265584178718	0.361598573745199	3.85138643486055	0.000117450993738694	0.00408840595833577
LOC_Os02g54130.MSUR7	266.846042277719	1.92830952351899	0.302616791107677	6.372116750233	1.86436869720129e-10	2.03818522497113e-08
LOC_Os02g54140.MSUR7	386.732459929572	6.52873918461484	0.404020866769592	16.1594108661177	9.74888770261968e-59	9.8965137164022e-56
LOC_Os02g54730.MSUR7	202.744749896665	2.02374677841875	0.31814643704583	6.36105435349327	2.00373518011982e-10	2.17382323510404e-08
LOC_Os02g56880.MSUR7	203.073155047925	1.62204896287595	0.312956912223678	5.18297854918965	2.18370161967736e-07	1.51389109360266e-05
LOC_Os02g56920.MSUR7	94.8472230458775	-2.36929369608369	0.422284488510408	-5.61065765034675	2.01559157316834e-08	1.63689071073534e-06
LOC_Os02g57120.MSUR7	1117.21806755935	-1.03969003484583	0.267059490905974	-3.89310273646813	9.89702137486653e-05	0.00349891710894535
LOC_Os02g57260.MSUR7	484.633273191213	-0.969579325315487	0.2617245786954	-3.70457879863053	0.000211742279480103	0.00691788799073843
LOC_Os03g01300.MSUR7	50.6865594092055	-2.02400444080116	0.563496155252833	-3.59186912267931	0.000328314731478304	0.0100777731398913
LOC_Os03g02260.MSUR7	834.464108944771	3.60846292130593	0.293249088981093	12.3051121278627	8.50182786744659e-35	3.89767669845648e-32
LOC_Os03g03610.MSUR7	973.492917900899	0.879488808717145	0.248536281506004	3.53867372356216	0.000402142572530713	0.0121085810186578
LOC_Os03g03920.MSUR7	162.161626101466	1.34284049444407	0.323982765210509	4.14478990439988	3.40125408128962e-05	0.00136936609074471
LOC_Os03g03980.MSUR7	24.938483171004	4.23559570480466	0.799968043218235	5.29470613321634	1.19207953379284e-07	8.6204590756097e-06
LOC_Os03g04970.MSUR7	122.751017386974	2.51209149429162	0.378393986237925	6.63882510202495	3.16193305907864e-11	3.71383410211782e-09
LOC_Os03g06080.MSUR7	14.4029308839514	6.49305583322687	1.6093234610474	4.0346493358153	5.46839023695e-05	0.00207244698793423
LOC_Os03g06490.MSUR7	78.5500039085709	1.76075545273733	0.418175071636094	4.21057009890246	2.54727067942552e-05	0.00104932785205784
LOC_Os03g06630.MSUR7	339.775826432802	1.1224461842925	0.347588150935993	3.22924179454895	0.00124118905718817	0.0311782761397787
LOC_Os03g07570.MSUR7	271.038942085129	1.32194939748831	0.299594798685568	4.41245777058944	1.02203733682989e-05	0.000468554665516982
LOC_Os03g08010.MSUR7	87.2229214787763	-2.07481959115384	0.419826255924951	-4.94209107189509	7.72890948150012e-07	4.81768691013508e-05
LOC_Os03g08270.MSUR7	583.002466788029	1.37641551059331	0.288106236451619	4.77745823049703	1.77524911214787e-06	0.000100919361527382
LOC_Os03g09120.MSUR7	29.4709941431014	1.90016622393823	0.614881994448933	3.09029413951403	0.00199958364288722	0.045541799251143
LOC_Os03g09220.MSUR7	832.00962024137	-0.873912425720836	0.275292438747511	-3.17448757291281	0.00150101318076976	0.036155041113598
LOC_Os03g09250.MSUR7	2192.80993103497	1.69186482720899	0.319565265208471	5.2942700956729	1.19492713052006e-07	8.6204590756097e-06
LOC_Os03g11440.MSUR7	137.792137616434	2.83429687351415	0.356659407249747	7.94678849317288	1.91408802358887e-15	3.2003551754406e-13
LOC_Os03g11910.MSUR7	910.549250218654	6.41321018224404	0.357493397254032	17.9393807871838	5.80989182314001e-72	9.17446473227398e-69
LOC_Os03g12370.MSUR7	74.8086029475214	1.38690217680872	0.405029930127309	3.42419676583602	0.000616619569264988	0.0174222610703658
LOC_Os03g12530.MSUR7	329.107248441666	-1.52874919251638	0.295827035898424	-5.16771290992246	2.36975943122725e-07	1.62700584717882e-05
LOC_Os03g13450.MSUR7	11.9076784993754	3.0573632167921	0.957869538575793	3.19183677282183	0.00141371198690999	0.0344035526677478
LOC_Os03g13750.MSUR7	102.951278559679	1.4121112428207	0.367254054924048	3.8450528289272	0.000120526469384282	0.00415757811380927
LOC_Os03g13840.MSUR7	139.124952498198	1.28564560881021	0.350090892126309	3.6723194968076	0.000240358916407488	0.00779904319630872
LOC_Os03g13850.MSUR7	13.8532667446607	3.08732049982675	0.915442798578563	3.37248870668985	0.000744921413339589	0.0205170990821361
LOC_Os03g14180.MSUR7	755.510287851472	8.76809559695183	2.13921616449589	4.09874221337423	4.15401379782895e-05	0.00162635934145303
LOC_Os03g15720.MSUR7	171.991866514376	3.37089188780843	0.339723021280361	9.92247117991618	3.32422176048051e-23	1.09869394558021e-20
LOC_Os03g15890.MSUR7	457.331620189056	2.26817372243163	0.293557867670671	7.72649610936742	1.10547176480594e-14	1.78533690016159e-12
LOC_Os03g15960.MSUR7	2601.45077088025	7.68508983161817	0.285061821483051	26.9593795185761	4.42844746863169e-160	3.14685477120968e-156
LOC_Os03g16020.MSUR7	319.315503822327	5.09283468250303	0.342174967961212	14.8837149393124	4.20488154344392e-50	2.98798882477125e-47
LOC_Os03g16030.MSUR7	1546.33739669232	7.94011651246329	0.350004322764636	22.6857669920914	6.19179962184423e-114	1.759957124513e-110
LOC_Os03g16040.MSUR7	367.16208194001	6.97233047398007	0.460792273370723	15.1311792252441	1.00871529046067e-51	7.5451903726458e-49
LOC_Os03g16460.MSUR7	135.395945119761	3.22888757997927	0.3607924790184	8.94943150911578	3.57317762152786e-19	8.06063497732602e-17
LOC_Os03g16670.MSUR7	143.047392052416	-1.21625905797668	0.364857100876018	-3.33352168576807	0.000857539864733862	0.0228655845358305
LOC_Os03g16874.MSUR7	29.3082588930216	3.17726568199495	0.662536998572171	4.79560490786515	1.62184663041813e-06	9.25690132992065e-05
LOC_Os03g16920.MSUR7	1676.76347115316	8.27325164537868	0.360473869521382	22.9510440142679	1.43852147195346e-116	5.11106678985064e-113
LOC_Os03g17300.MSUR7	48.315655403806	2.00471823125027	0.570481017954354	3.514084024108	0.000441273207156593	0.0130111510790653
LOC_Os03g18190.MSUR7	9.29250072322934	7.31182735141815	1.73423430413579	4.21617040672126	2.48486020474534e-05	0.00102958697463093
LOC_Os03g18200.MSUR7	598.765523456536	1.62869119586313	0.258187656633177	6.30816831874001	2.82357055184315e-10	3.01718681825525e-08
LOC_Os03g18870.MSUR7	23.2091804996957	3.79059439222862	0.778175453005339	4.8711307682467	1.10961366710523e-06	6.6259787549998e-05
LOC_Os03g19500.MSUR7	200.330705756696	1.08211398130028	0.306619827040201	3.52917158601881	0.000416862751331225	0.0124202377818016
LOC_Os03g20120.MSUR7	346.55644638714	2.54097517815427	0.290053503916041	8.76036711795691	1.94615498250837e-18	3.95125065877271e-16
LOC_Os03g20460.MSUR7	43.5332590088673	1.82664247324231	0.532442983810913	3.43068183595599	0.000602066305111623	0.0170789747070786
LOC_Os03g20790.MSUR7	45.0956635117646	-2.81362144425394	0.601794150768457	-4.67538848734423	2.93397671826417e-06	0.000157945746666555
LOC_Os03g20860.MSUR7	51.7277844664014	2.21923350819325	0.515767418107827	4.30277956745475	1.68668639805218e-05	0.000730828874668218
LOC_Os03g21040.MSUR7	86.6455375400656	2.1295056625274	0.440839968623706	4.83056395538651	1.36146872836872e-06	7.89763002758213e-05
LOC_Os03g21210.MSUR7	38.657785468401	1.91361128070853	0.528618139975822	3.6200257539328	0.000294573694795158	0.00919826515964198
LOC_Os03g21490.MSUR7	139.476755153824	1.076247715506	0.332965014377359	3.23231471486147	0.00122791738403906	0.0309417763509984
LOC_Os03g22350.MSUR7	35.842960889696	2.24166592977527	0.557658701180786	4.01978114037989	5.82522306153731e-05	0.00219016058599387
LOC_Os03g24070.MSUR7	28.1050105945853	4.40486004703241	0.761179498099901	5.78688740044637	7.17026067116508e-09	6.25176347598762e-07
LOC_Os03g25050.MSUR7	51.2306230857079	3.94660764672935	0.568550475645295	6.9415255386956	3.87888088125188e-12	5.10431991521775e-10
LOC_Os03g25490.MSUR7	106.318017125681	-1.65428662934278	0.418878326048786	-3.94932496256707	7.83718956625227e-05	0.00283593447372274
LOC_Os03g25500.MSUR7	94.9238380529941	-1.48825547475344	0.419647846577296	-3.54643896517486	0.000390475182314478	0.0118324803647193
LOC_Os03g25770.MSUR7	58.0343585728389	1.74444067331584	0.468312136323365	3.72495294914015	0.000195351654737672	0.00645659934216695
LOC_Os03g25790.MSUR7	19.1904696797098	2.70946798649263	0.772729239522529	3.50636141084401	0.000454277936788708	0.0133117485312188
